Title,Release Date,Language,Runtime,Revenue,Budget,Genre,Year,Month,Day,User rating,Rated,Profit
Inside Job,2010-10-08,en,109.0,7871522,2000000,Documentary,2010,10,8,8.2,PG-13,3035405
We Are Your Friends,2015-08-26,en,96.0,11122090,6000000,Drama,2015,8,26,6.2,R,825038
Harsh Times,2005-09-11,en,120.0,5967038,2000000,Crime,2005,9,11,6.9,R,4354611
Captive,2015-09-17,en,97.0,2801508,2000000,Crime,2015,9,17,5.4,PG-13,3331103
Full Frontal,2002-08-02,en,96.0,2506446,2000000,Comedy,2002,8,2,4.7,R,5796544
Shortbus,2006-05-20,en,101.0,5179037,2000000,Romance,2006,5,20,6.4,Not Rated,4531000
Vals Im Bashir,2008-06-25,he,90.0,11125849,2000000,Drama,2008,6,25,No Rating,No Rating,8700000
"The Book of Mormon Movie, Volume 1: The Journey",2003-09-12,en,120.0,1672730,2000000,No Genre,2003,9,12,3.0,PG-13,81040000
No End in Sight,2007-07-27,en,102.0,1431623,2000000,Documentary,2007,7,27,8.2,Not Rated,32690067
The Diary of a Teenage Girl,2015-08-07,en,98.0,1477002,2000000,Drama,2015,8,7,6.9,R,19730418
Roadside Romeo,2008-10-24,en,93.0,1100000,7000000,Animation,2008,10,24,5.2,PG,6972000
Bananas,1971-04-28,en,82.0,11833696,2000000,Comedy,1971,4,28,7.0,PG-13,21550000
Buried,2010-09-24,en,94.0,19152480,1987650,Drama,2010,9,24,7.0,R,28948000
The Last Exorcism,2010-08-27,en,87.0,67738090,1800000,Horror,2010,8,27,5.6,PG-13,76898765
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,en,95.0,9440272,1800000,Drama,1964,1,29,8.4,PG,16344729
Beasts of the Southern Wild,2012-06-29,en,93.0,21107746,1800000,Drama,2012,6,29,7.3,PG-13,12674076
Battle for the Planet of the Apes,1973-06-15,en,93.0,8844595,1700000,Action,1973,6,15,5.5,G,16016290
Hang 'em High,1968-07-31,en,114.0,6800000,1800000,Western,1968,7,31,7.0,M,11129846
Lola rennt,1998-08-20,de,81.0,7267585,1530000,Action,1998,8,20,No Rating,No Rating,22600832
Conquest of the Planet of the Apes,1972-06-29,en,88.0,9700000,1700000,Action,1972,6,29,6.1,PG,9540607
"Happy, Texas",1999-12-03,en,98.0,1943649,1700000,Comedy,1999,12,3,6.3,PG-13,11101672
The Conversation,1974-04-07,en,113.0,4420000,1600000,Crime,1974,4,7,7.8,PG,68000000
Waitress,2007-05-25,en,108.0,22179430,2000000,Comedy,2007,5,25,7.0,PG-13,5600000
Bloodsport,1988-02-26,en,92.0,11806119,1500000,Action,1988,2,26,6.8,R,7172000
Kids,1995-07-28,en,91.0,7412216,1500000,Drama,1995,7,28,7.1,Unrated,-6522324
The Squid and the Whale,2005-10-05,en,81.0,11098131,1500000,Comedy,2005,10,5,7.3,R,13292615
Buffalo '66,1998-01-20,en,110.0,2375097,1500000,Romance,1998,1,20,7.5,R,18908467
Insidious,2010-09-13,en,103.0,97009150,1500000,Horror,2010,9,13,6.8,PG-13,2601043
Repo Man,1984-02-20,en,92.0,2300000,1500000,Comedy,1984,2,20,6.9,R,5800000
The To Do List,2013-07-24,en,104.0,3566225,1500000,Comedy,2013,7,24,5.8,R,11831503
The Lords of Salem,2012-09-10,en,101.0,1165882,1500000,Horror,2012,9,10,5.1,R,2000000
